array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.09,349.59,-6.38,2.77,5.88,18.12
CARISMA,BACK,Back Lake,57.71,265.79,67.39,333.60,-0.98,6.76,6.94,17.06
CARISMA,CONT,Contwoyto,65.75,248.75,72.88,304.81,18.49,11.54,8.86,15.14
CARISMA,DAWS,Dawson City,64.05,220.89,65.97,274.06,23.61,6.03,10.91,13.09
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.59,333.24,-2.87,9.05,6.97,17.03
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.29,308.68,16.15,6.18,8.61,15.39
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.39,333.63,-1.59,7.37,6.94,17.06
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.29,294.45,22.35,6.71,9.55,14.45
CARISMA,FSMI,Fort Smith,60.02,248.05,67.34,307.03,17.12,6.74,8.72,15.28
CARISMA,GILL,Gillam,56.38,265.36,66.10,333.13,0.02,6.09,6.98,17.02
CARISMA,GULL,Gull Lake,50.06,251.74,58.30,315.01,12.31,3.62,8.18,15.82
CARISMA,ISLL,Island Lake,53.86,265.34,63.70,333.43,0.76,5.09,6.96,17.04
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.89,332.45,1.99,4.51,7.02,16.98
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.23,309.32,15.60,5.29,8.56,15.44
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.69,308.11,15.65,4.17,8.64,15.36
CARISMA,NORM,Norman Wells,65.26,233.31,69.60,285.89,25.27,8.23,10.13,13.87
CARISMA,OSAK,Osakis,45.87,264.92,55.98,333.55,2.48,3.19,6.95,17.05
CARISMA,OXFO,Oxford House,54.93,264.71,64.67,332.35,1.18,5.47,7.03,16.97
CARISMA,PINA,Pinawa,50.20,263.96,60.08,331.81,2.83,4.02,7.06,16.94
CARISMA,POLS,Polson,47.66,245.79,54.85,308.15,14.69,3.02,8.64,15.36
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.90,319.22,9.78,6.50,7.90,16.10
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.29,336.07,-7.01,10.81,6.78,17.22
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.18,280.39,29.11,17.52,10.49,13.51
CARISMA,TALO,Taloyoak,69.54,266.45,78.35,331.25,-13.50,24.52,7.10,16.90
CARISMA,THRF,Thief River Falls,48.03,263.63,57.95,331.56,3.37,3.55,7.08,16.92
CARISMA,VULC,Vulcan,50.37,247.02,57.75,308.95,14.85,3.51,8.59,15.41
CARISMA,WEYB,Weyburn,49.69,256.20,58.65,321.01,9.33,3.69,7.78,16.22
