array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,4.241700E+01,2.760980E+02,5.286700E+01,3.500397E+02,-6.519518E+00,2.744131E+00,5.865238E+00,1.813476E+01
CARISMA,BACK,Back Lake,5.770700E+01,2.657940E+02,6.719328E+01,3.342028E+02,-1.221248E+00,6.655478E+00,6.921032E+00,1.707897E+01
CARISMA,CONT,Contwoyto,6.575400E+01,2.487500E+02,7.276642E+01,3.057280E+02,1.692966E+01,1.139281E+01,8.819349E+00,1.518065E+01
CARISMA,DAWS,Dawson City,6.404800E+01,2.208900E+02,6.598113E+01,2.747941E+02,2.236111E+01,6.035749E+00,1.088161E+01,1.311839E+01
CARISMA,ESKI,Eskimo Point,6.110600E+01,2.659500E+02,7.038734E+01,3.338862E+02,-3.053615E+00,8.875678E+00,6.942140E+00,1.705786E+01
CARISMA,FCHP,Fort Chipewyan,5.876900E+01,2.488940E+02,6.617662E+01,3.093840E+02,1.523785E+01,6.129320E+00,8.575617E+00,1.542438E+01
CARISMA,FCHU,Fort Churchill,5.876300E+01,2.659200E+02,6.819412E+01,3.342417E+02,-1.813995E+00,7.247174E+00,6.918436E+00,1.708156E+01
CARISMA,FSIM,Fort Simpson,6.175600E+01,2.387700E+02,6.722910E+01,2.952184E+02,2.112281E+01,6.675318E+00,9.519991E+00,1.448001E+01
CARISMA,FSMI,Fort Smith,6.001700E+01,2.480500E+02,6.723296E+01,3.077687E+02,1.610896E+01,6.677458E+00,8.683302E+00,1.531670E+01
CARISMA,GILL,Gillam,5.637600E+01,2.653600E+02,6.590868E+01,3.337206E+02,-2.478296E-01,6.001649E+00,6.953177E+00,1.704682E+01
CARISMA,GULL,Gull Lake,5.006100E+01,2.517390E+02,5.819729E+01,3.155756E+02,1.178801E+01,3.600687E+00,8.162844E+00,1.583716E+01
CARISMA,ISLL,Island Lake,5.385600E+01,2.653400E+02,6.351591E+01,3.339946E+02,4.796725E-01,5.028392E+00,6.934913E+00,1.706509E+01
CARISMA,LGRR,Little Grand Rapids,5.203500E+01,2.645370E+02,6.171820E+01,3.330018E+02,1.668685E+00,4.454452E+00,7.001096E+00,1.699890E+01
CARISMA,MCMU,Fort McMurray,5.665700E+01,2.487900E+02,6.412315E+01,3.099794E+02,1.480739E+01,5.249938E+00,8.535924E+00,1.546408E+01
CARISMA,MSTK,Ministik Lake,5.335100E+01,2.470260E+02,6.059748E+01,3.087124E+02,1.498381E+01,4.148962E+00,8.620393E+00,1.537961E+01
CARISMA,NORM,Norman Wells,6.525700E+01,2.333110E+02,6.956556E+01,2.867378E+02,2.373783E+01,8.203748E+00,1.008536E+01,1.391464E+01
CARISMA,OSAK,Osakis,4.587100E+01,2.649170E+02,5.582018E+01,3.340634E+02,2.162582E+00,3.168465E+00,6.930321E+00,1.706968E+01
CARISMA,OXFO,Oxford House,5.492900E+01,2.647130E+02,6.449111E+01,3.329307E+02,8.737528E-01,5.391986E+00,7.005834E+00,1.699417E+01
CARISMA,PINA,Pinawa,5.019900E+01,2.639600E+02,5.991017E+01,3.323487E+02,2.495290E+00,3.978374E+00,7.044639E+00,1.695536E+01
CARISMA,POLS,Polson,4.766400E+01,2.457910E+02,5.477546E+01,3.086755E+02,1.418672E+01,3.005911E+00,8.622851E+00,1.537715E+01
CARISMA,RABB,Rabbit Lake,5.822200E+01,2.563200E+02,6.675678E+01,3.198912E+02,9.092624E+00,6.421089E+00,7.875139E+00,1.612486E+01
CARISMA,RANK,Rankin Inlet,6.282400E+01,2.678900E+02,7.208165E+01,3.367140E+02,-6.973965E+00,1.056463E+01,6.753615E+00,1.724638E+01
CARISMA,SACH,Sachs Harbour,7.198000E+01,2.347700E+02,7.615919E+01,2.815613E+02,2.652547E+01,1.747377E+01,1.043046E+01,1.356954E+01
CARISMA,TALO,Taloyoak,6.954000E+01,2.664500E+02,7.814626E+01,3.321452E+02,-1.307947E+01,2.369952E+01,7.058202E+00,1.694180E+01
CARISMA,THRF,Thief River Falls,4.802700E+01,2.636350E+02,5.778957E+01,3.320864E+02,3.028142E+00,3.519624E+00,7.062121E+00,1.693788E+01
CARISMA,VULC,Vulcan,5.036700E+01,2.470200E+02,5.766999E+01,3.095093E+02,1.428395E+01,3.496434E+00,8.567266E+00,1.543273E+01
CARISMA,WEYB,Weyburn,4.969300E+01,2.562000E+02,5.852571E+01,3.215630E+02,8.859260E+00,3.668311E+00,7.763684E+00,1.623632E+01
CARISMA,WGRY,Wells Gray,5.188300E+01,2.399740E+02,5.779663E+01,3.006150E+02,1.722916E+01,3.521000E+00,9.160218E+00,1.483978E+01
CANMOS,ALE,Alert,8.249700E+01,2.976470E+02,8.702768E+01,8.244839E+01,-5.575032E+01,3.719157E+02,2.370466E+01,2.953427E-01
CANMOS,BLC,Baker Lake,6.431800E+01,2.639880E+02,7.323551E+01,3.299056E+02,-2.347851E+00,1.201970E+01,7.207509E+00,1.679249E+01
CANMOS,BRD,Brandon,4.987000E+01,2.600260E+02,5.919326E+01,3.267997E+02,5.934127E+00,3.812554E+00,7.414568E+00,1.658543E+01
CANMOS,CBB,Cambridge Bay,6.912300E+01,2.549690E+02,7.672588E+01,3.125029E+02,9.049101E+00,1.896784E+01,8.367691E+00,1.563231E+01
CANMOS,EUA,Eureka,8.000000E+01,2.741000E+02,8.763439E+01,3.414140E+02,-5.921803E+01,5.869582E+02,6.440285E+00,1.755971E+01
CANMOS,FCC,Fort Churchill,5.875900E+01,2.659120E+02,6.818988E+01,3.342298E+02,-1.802353E+00,7.244492E+00,6.919228E+00,1.708077E+01
CANMOS,GLN,Glenlea,4.964500E+01,2.628800E+02,5.927913E+01,3.308572E+02,3.524801E+00,3.831800E+00,7.144071E+00,1.685593E+01
CANMOS,GWC,Great Whale River,5.530000E+01,2.822500E+02,6.480614E+01,3.596735E+02,-1.672482E+01,5.518598E+00,5.222982E+00,1.877702E+01
CANMOS,IQA,Iqaluit,6.375300E+01,2.914820E+02,7.185175E+01,1.487226E+01,-2.914429E+01,1.030739E+01,4.209733E+00,1.979027E+01
CANMOS,MBC,Mould Bay,7.631500E+01,2.406380E+02,8.091457E+01,2.796794E+02,2.456381E+01,4.010491E+01,1.055593E+01,1.344407E+01
CANMOS,MEA,Meanook,5.461600E+01,2.466530E+02,6.176569E+01,3.078647E+02,1.548864E+01,4.468210E+00,8.676902E+00,1.532310E+01
CANMOS,OTT,Ottawa,4.540300E+01,2.844480E+02,5.512770E+01,2.112237E+00,-1.336362E+01,3.059065E+00,5.060401E+00,1.893960E+01
CANMOS,PBQ,Poste de-la-Baleine,5.527700E+01,2.822550E+02,6.478390E+01,3.596793E+02,-1.671317E+01,5.509504E+00,5.222599E+00,1.877740E+01
CANMOS,RES,Resolute,7.469000E+01,2.651050E+02,8.263676E+01,3.251052E+02,-2.435095E+01,6.088353E+01,7.527537E+00,1.647246E+01
CANMOS,STJ,St. John's,4.759500E+01,3.073230E+02,5.267990E+01,3.129601E+01,-1.909696E+01,2.720642E+00,3.114816E+00,2.088518E+01
