array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.55,350.65,-6.66,2.70,5.85,18.15
CARISMA,BACK,Back Lake,57.71,265.79,66.92,335.00,-1.40,6.51,6.89,17.11
CARISMA,CONT,Contwoyto,65.75,248.75,72.60,306.98,15.12,11.19,8.76,15.24
CARISMA,DAWS,Dawson City,64.05,220.89,65.99,275.83,20.62,6.04,10.83,13.17
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.11,334.75,-3.13,8.64,6.91,17.09
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.02,310.34,14.17,6.05,8.53,15.47
CARISMA,FCHU,Fort Churchill,58.76,265.92,67.92,335.06,-1.96,7.08,6.89,17.11
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.14,296.27,19.58,6.62,9.47,14.53
CARISMA,FSMI,Fort Smith,60.02,248.05,67.08,308.77,14.92,6.59,8.64,15.36
CARISMA,GILL,Gillam,56.38,265.36,65.64,334.51,-0.48,5.88,6.92,17.08
CARISMA,GULL,Gull Lake,50.06,251.74,58.05,316.34,11.16,3.57,8.13,15.87
CARISMA,ISLL,Island Lake,53.86,265.34,63.26,334.75,0.21,4.94,6.91,17.09
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.47,333.75,1.34,4.38,6.97,17.03
CARISMA,MCMU,Fort McMurray,56.66,248.79,63.97,310.88,13.86,5.19,8.50,15.50
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.47,309.54,14.17,4.12,8.59,15.41
CARISMA,NORM,Norman Wells,65.26,233.31,69.51,287.92,21.74,8.16,10.03,13.97
CARISMA,OSAK,Osakis,45.87,264.92,55.59,334.76,1.80,3.13,6.91,17.09
CARISMA,OXFO,Oxford House,54.93,264.71,64.23,333.71,0.58,5.29,6.98,17.02
CARISMA,PINA,Pinawa,50.20,263.96,59.67,333.08,2.14,3.92,7.02,16.98
