array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.41,351.01,-6.74,2.69,5.84,18.16
CARISMA,BACK,Back Lake,57.71,265.79,66.80,335.46,-1.47,6.44,6.88,17.12
CARISMA,CONT,Contwoyto,65.75,248.75,72.54,307.63,14.34,11.10,8.73,15.27
CARISMA,DAWS,Dawson City,64.05,220.89,66.01,276.38,19.82,6.05,10.82,13.18
CARISMA,ESKI,Eskimo Point,61.11,265.95,69.98,335.23,-3.14,8.53,6.89,17.11
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,65.96,310.86,13.71,6.02,8.52,15.48
CARISMA,FCHU,Fort Churchill,58.76,265.92,67.80,335.52,-2.01,7.00,6.87,17.13
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.10,296.83,18.89,6.60,9.45,14.55
CARISMA,FSMI,Fort Smith,60.02,248.05,67.02,309.31,14.40,6.56,8.62,15.38
CARISMA,GILL,Gillam,56.38,265.36,65.52,334.96,-0.58,5.83,6.91,17.09
CARISMA,GULL,Gull Lake,50.06,251.74,57.99,316.77,10.89,3.56,8.12,15.88
CARISMA,ISLL,Island Lake,53.86,265.34,63.14,335.19,0.09,4.90,6.90,17.10
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.36,334.18,1.20,4.35,6.96,17.04
CARISMA,MCMU,Fort McMurray,56.66,248.79,63.91,311.37,13.46,5.17,8.48,15.52
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.42,309.99,13.83,4.10,8.58,15.42
CARISMA,NORM,Norman Wells,65.26,233.31,69.49,288.54,20.84,8.15,10.01,13.99
CARISMA,OSAK,Osakis,45.87,264.92,55.49,335.16,1.62,3.12,6.90,17.10
CARISMA,OXFO,Oxford House,54.93,264.71,64.12,334.15,0.46,5.25,6.96,17.04
CARISMA,PINA,Pinawa,50.20,263.96,59.57,333.50,1.97,3.90,7.01,16.99
CARISMA,POLS,Polson,47.66,245.79,54.64,309.80,13.30,2.99,8.59,15.41
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.46,321.30,8.02,6.27,7.82,16.18
CARISMA,RANK,Rankin Inlet,62.82,267.89,71.65,338.05,-6.64,10.09,6.70,17.30
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.11,284.04,21.63,17.34,10.31,13.69
CARISMA,TALO,Taloyoak,69.54,266.45,77.73,333.95,-11.92,22.13,6.98,17.02
CARISMA,THRF,Thief River Falls,48.03,263.63,57.47,333.21,2.47,3.46,7.03,16.97
CARISMA,VULC,Vulcan,50.37,247.02,57.51,310.71,13.29,3.47,8.53,15.47
CARISMA,WEYB,Weyburn,49.69,256.20,58.28,322.75,8.07,3.62,7.72,16.28
CARISMA,WGRY,Wells Gray,51.88,239.97,57.69,301.83,16.05,3.50,9.12,14.88
CANMOS,ALE,Alert,82.50,297.65,86.91,74.16,-49.39,344.94,0.30,23.70
CANMOS,BLC,Baker Lake,64.32,263.99,72.84,331.44,-2.58,11.49,7.15,16.85
CANMOS,BRD,Brandon,49.87,260.03,58.90,327.98,5.26,3.75,7.38,16.62
CANMOS,CBB,Cambridge Bay,69.12,254.97,76.43,314.69,6.64,18.16,8.26,15.74
CANMOS,EUA,Eureka,80.00,274.10,87.18,345.53,-50.19,411.92,6.21,17.79
CANMOS,FCC,Fort Churchill,58.76,265.91,67.79,335.51,-2.00,7.00,6.87,17.13
CANMOS,GLN,Glenlea,49.65,262.88,58.96,332.01,2.95,3.76,7.11,16.89
CANMOS,GWC,Great Whale River,55.30,282.25,64.27,0.47,-15.82,5.31,5.21,18.79
CANMOS,IQA,Iqaluit,63.75,291.48,71.32,15.17,-26.77,9.75,4.23,19.77
CANMOS,MBC,Mould Bay,76.31,240.64,80.86,283.21,16.75,39.64,10.36,13.64
CANMOS,MEA,Meanook,54.62,246.65,61.58,309.19,14.24,4.42,8.63,15.37
CANMOS,OTT,Ottawa,45.40,284.45,54.56,2.92,-13.06,2.97,5.05,18.95
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,64.25,0.47,-15.81,5.30,5.21,18.79
CANMOS,RES,Resolute,74.69,265.11,82.25,327.93,-21.12,54.93,7.38,16.62
CANMOS,STJ,St. John's,47.59,307.32,52.01,31.55,-17.99,2.64,3.14,20.86
CANMOS,SNK,Sanikiluaq,56.50,280.80,65.53,358.40,-15.49,5.83,5.35,18.65
CANMOS,VIC,Victoria,48.52,236.58,53.71,298.90,15.95,2.85,9.31,14.69
CANMOS,WHS,Whiteshell,49.80,264.75,59.25,334.67,1.34,3.82,6.93,17.07
CANMOS,YKC,Yellowknife,62.48,245.52,68.96,304.95,16.27,7.76,8.91,15.09
AUTUMNX,FSJ,Fort St. John,56.23,239.27,61.82,299.65,17.33,4.48,9.26,14.74
AUTUMNX,AKUL,Akulivik,60.82,281.85,69.52,0.31,-19.40,8.17,5.22,18.78
AUTUMNX,ATHA,Athabasca,54.71,246.69,61.69,309.20,14.24,4.45,8.63,15.37
AUTUMNX,INUK,Inukjuak,58.47,281.95,67.30,0.25,-17.64,6.72,5.22,18.78
AUTUMNX,INUV,Inuvik,68.41,226.23,71.28,278.58,21.60,9.71,10.67,13.33
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24,64.26,0.45,-15.80,5.30,5.21,18.79
AUTUMNX,LARG,La,55.16,254.74,63.34,319.77,9.34,4.97,7.92,16.08
AUTUMNX,LETH,Lethbridge,49.64,247.13,56.82,311.01,13.11,3.34,8.51,15.49
AUTUMNX,PUVR,Puvirnituq,60.05,282.71,68.73,1.54,-19.37,7.60,5.14,18.86
AUTUMNX,RADI,Radisson,53.79,282.38,62.83,0.55,-15.10,4.79,5.20,18.80
AUTUMNX,REDR,Red,52.14,246.16,59.09,309.21,13.99,3.79,8.63,15.37
AUTUMNX,ROTH,Priddis,50.87,245.70,57.77,308.95,13.94,3.52,8.64,15.36
AUTUMNX,SALU,Salluit,62.20,284.35,70.62,4.29,-22.29,9.08,4.96,19.04
AUTUMNX,SCHF,Schefferville,54.80,293.19,62.41,15.71,-20.56,4.66,4.19,19.81
AUTUMNX,SEPT,Spet-Iles,50.22,293.73,57.78,15.83,-18.50,3.52,4.19,19.81
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,57.27,7.45,-15.74,3.42,4.74,19.26
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,57.35,359.97,-12.58,3.44,5.24,18.76
DTU,AMK,Tasiilaq,65.60,322.37,68.28,52.14,-22.28,7.30,1.77,22.23
DTU,ATU,Attu,67.93,306.43,73.19,36.77,-30.05,11.95,2.79,21.21
DTU,BFE,Brorfelde,55.62,11.67,52.14,88.94,3.08,2.65,23.31,0.69
DTU,DMH,Danmarkshavn,76.77,341.37,77.05,81.44,-16.49,19.93,23.81,0.19
DTU,FHB,Paamiut,62.00,310.32,66.61,38.14,-24.40,6.34,2.70,21.30
DTU,GDH,Qeqertarsuaq,69.25,306.47,74.46,37.79,-31.21,13.94,2.72,21.28
DTU,GHB,Nuuk,64.17,308.27,69.17,36.79,-26.49,7.91,2.79,21.21
DTU,HOV,Faroe Islands,61.50,353.24,59.77,76.13,-5.18,3.95,0.17,23.83
DTU,KUV,Kullorsuaq,74.57,302.82,79.97,39.35,-37.62,32.97,2.62,21.38
DTU,NAQ,Narsarsuaq,61.16,314.56,64.96,42.28,-22.60,5.58,2.42,21.58
DTU,NRD,Nord,81.60,343.33,81.21,97.47,-16.22,42.83,22.74,1.26
DTU,NRSQ,Narsarsuaq,61.16,314.56,64.97,42.28,-22.60,5.58,2.42,21.58
DTU,ROE,Romo,55.17,8.55,51.69,86.18,2.01,2.60,23.50,0.50
DTU,SCO,Ittoqqortoormiit,70.48,338.03,71.15,69.82,-16.47,9.58,0.59,23.41
DTU,SKT,Maniitsoq,65.42,307.10,70.61,36.07,-27.76,9.07,2.84,21.16
DTU,STF,Kangerlussuaq,67.02,309.28,71.85,39.49,-28.44,10.30,2.61,21.39
DTU,SUM,Summit Ice Cap,72.32,321.70,75.19,57.34,-26.88,15.30,1.42,22.58
DTU,SVS,Savissivik,76.02,294.90,82.26,30.30,-41.79,55.09,3.22,20.78
DTU,TAB,Thule Air Base ,79.54,291.18,85.68,35.14,-48.05,175.99,2.90,21.10
DTU,TDC,Tristan Da Cunha ,-37.07,347.68,-40.92,50.66,-23.09,1.75,1.86,22.14
DTU,THL,Qaanaaq,77.47,290.77,83.97,26.35,-44.83,90.76,3.48,20.52
DTU,UMQ,Uummannaq,70.68,307.87,75.63,40.73,-32.03,16.23,2.53,21.47
DTU,UPN,Upernavik,72.78,303.85,78.18,38.08,-35.42,23.85,2.70,21.30
IMAGE,NAL,Ny Alesund,78.92,11.95,76.56,107.58,5.35,18.50,22.07,1.93
IMAGE,LYR,Longyearbyen,78.20,15.82,75.64,108.87,7.97,16.25,21.98,2.02
IMAGE,HOR,Hornsund,77.00,15.60,74.48,106.71,7.56,13.98,22.13,1.87
IMAGE,HOP,Hopen Island,76.51,25.01,73.53,112.89,13.74,12.44,21.72,2.28
IMAGE,BJN,Bear Island,74.50,19.20,71.83,106.07,9.37,10.28,22.17,1.83
IMAGE,NOR,Nordkapp,71.09,25.79,68.13,108.07,12.26,7.20,22.04,1.96
IMAGE,SOR,Soroya,70.54,22.22,67.71,104.79,10.09,6.95,22.26,1.74
IMAGE,ALT,Alta,69.86,22.96,66.99,104.89,10.30,6.54,22.25,1.75
IMAGE,KEV,Kevo,69.76,27.01,66.74,108.12,12.42,6.41,22.03,1.97
IMAGE,TRO,Tromso,69.66,18.94,66.94,101.52,8.04,6.52,22.47,1.53
IMAGE,MAS,Masi,69.46,23.70,66.55,105.22,10.57,6.32,22.23,1.77
IMAGE,AND,Andenes,69.30,16.03,66.70,98.93,6.35,6.39,22.65,1.35
IMAGE,KIL,Kilpisjärvi,69.06,20.77,66.25,102.57,8.89,6.17,22.40,1.60
IMAGE,KAU,Kautokeino,69.02,23.05,66.13,104.40,10.09,6.11,22.28,1.72
IMAGE,IVA,Ivalo,68.56,27.29,65.52,107.59,12.11,5.82,22.07,1.93
IMAGE,ABK,Abisko,68.35,18.82,65.60,100.53,7.68,5.86,22.54,1.46
IMAGE,LEK,Leknes,68.13,13.54,65.61,96.13,4.81,5.86,22.83,1.17
IMAGE,MUO,Muonio,68.02,23.53,65.09,104.16,10.04,5.64,22.30,1.70
IMAGE,LOZ,Lovozero,67.97,35.08,64.74,113.81,15.52,5.49,21.65,2.35
IMAGE,KIR,Kiruna,67.84,20.42,65.01,101.51,8.40,5.60,22.47,1.53
IMAGE,RST,Rost,67.52,12.09,65.05,94.57,3.96,5.62,22.94,1.06
IMAGE,SOD,Sodankylä,67.37,26.63,64.33,106.36,11.35,5.33,22.15,1.85
IMAGE,PEL,Pello,66.90,24.08,63.92,103.98,9.96,5.17,22.31,1.69
IMAGE,JCK,Jackvik,66.40,16.98,63.65,97.85,6.35,5.08,22.72,1.28
IMAGE,DON,Donna,66.11,12.50,63.54,94.04,4.05,5.04,22.97,1.03
IMAGE,RAN,Ranua,65.90,26.41,62.83,105.41,10.73,4.80,22.21,1.79
IMAGE,RVK,Rorvik,64.94,10.98,62.37,92.15,3.20,4.65,23.10,0.90
IMAGE,LYC,Lycksele,64.61,18.75,61.71,98.36,6.87,4.45,22.68,1.32
IMAGE,OUJ,Oulujärvi,64.52,27.23,61.39,105.46,10.60,4.36,22.21,1.79
