array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,4.241700E+01,2.760980E+02,5.369157E+01,3.485104E+02,-5.829559E+00,2.852091E+00,5.923556E+00,1.807644E+01
CARISMA,BACK,Back Lake,5.770700E+01,2.657940E+02,6.792181E+01,3.321235E+02,9.807113E-02,7.078175E+00,7.016016E+00,1.698398E+01
CARISMA,CONT,Contwoyto,6.575400E+01,2.487500E+02,7.318087E+01,3.024674E+02,2.381011E+01,1.194398E+01,8.993089E+00,1.500691E+01
CARISMA,DAWS,Dawson City,6.404800E+01,2.208900E+02,6.596573E+01,2.722557E+02,2.711250E+01,6.028475E+00,1.100720E+01,1.299280E+01
CARISMA,ESKI,Eskimo Point,6.110600E+01,2.659500E+02,7.113497E+01,3.316267E+02,-1.879253E+00,9.564924E+00,7.049132E+00,1.695087E+01
CARISMA,FCHP,Fort Chipewyan,5.876900E+01,2.488940E+02,6.659456E+01,3.069268E+02,1.915444E+01,6.337310E+00,8.695792E+00,1.530421E+01
CARISMA,FCHU,Fort Churchill,5.876300E+01,2.659200E+02,6.893091E+01,3.321162E+02,-5.458719E-01,7.737811E+00,7.016501E+00,1.698350E+01
CARISMA,FSIM,Fort Simpson,6.175600E+01,2.387700E+02,6.747653E+01,2.925438E+02,2.613589E+01,6.814945E+00,9.654663E+00,1.434534E+01
CARISMA,FSMI,Fort Smith,6.001700E+01,2.480500E+02,6.763965E+01,3.052003E+02,2.044418E+01,6.909542E+00,8.810893E+00,1.518911E+01
CARISMA,GILL,Gillam,5.637600E+01,2.653600E+02,6.662050E+01,3.316847E+02,1.172901E+00,6.350587E+00,7.045271E+00,1.695473E+01
CARISMA,GULL,Gull Lake,5.006100E+01,2.517390E+02,5.859785E+01,3.136645E+02,1.400288E+01,3.683454E+00,8.246614E+00,1.575339E+01
CARISMA,ISLL,Island Lake,5.385600E+01,2.653400E+02,6.420786E+01,3.320529E+02,1.899483E+00,5.282102E+00,7.020724E+00,1.697928E+01
CARISMA,LGRR,Little Grand Rapids,5.203500E+01,2.645370E+02,6.237784E+01,3.311009E+02,3.178911E+00,4.652008E+00,7.084187E+00,1.691581E+01
CARISMA,MCMU,Fort McMurray,5.665700E+01,2.487900E+02,6.452914E+01,3.076878E+02,1.819383E+01,5.407021E+00,8.645063E+00,1.535494E+01
CARISMA,MSTK,Ministik Lake,5.335100E+01,2.470260E+02,6.095215E+01,3.066438E+02,1.777378E+01,4.241801E+00,8.714661E+00,1.528534E+01
CARISMA,NORM,Norman Wells,6.525700E+01,2.333110E+02,6.970841E+01,2.837667E+02,2.983705E+01,8.314708E+00,1.023980E+01,1.376020E+01
CARISMA,OSAK,Osakis,4.587100E+01,2.649170E+02,5.641908E+01,3.323246E+02,3.589681E+00,3.268666E+00,7.002608E+00,1.699739E+01
CARISMA,OXFO,Oxford House,5.492900E+01,2.647130E+02,6.517981E+01,3.309337E+02,2.399539E+00,5.675094E+00,7.095333E+00,1.690467E+01
CARISMA,PINA,Pinawa,5.019900E+01,2.639600E+02,6.053949E+01,3.304927E+02,4.036607E+00,4.134104E+00,7.124738E+00,1.687526E+01
CARISMA,POLS,Polson,4.766400E+01,2.457910E+02,5.506096E+01,3.069112E+02,1.622646E+01,3.048868E+00,8.696833E+00,1.530317E+01
CARISMA,RABB,Rabbit Lake,5.822200E+01,2.563200E+02,6.730925E+01,3.175333E+02,1.221711E+01,6.720047E+00,7.988696E+00,1.601130E+01
CARISMA,RANK,Rankin Inlet,6.282400E+01,2.678900E+02,7.286779E+01,3.344495E+02,-6.729986E+00,1.152393E+01,6.860947E+00,1.713905E+01
CARISMA,SACH,Sachs Harbour,7.198000E+01,2.347700E+02,7.623672E+01,2.774090E+02,3.682986E+01,1.766732E+01,1.066365E+01,1.333635E+01
