Array,Code,Name,Latitude,Longitude
CARISMA,ANNA,Ann Arbor,42.417,276.098
CARISMA,BACK,Back Lake,57.707,265.794
CARISMA,CONT,Contwoyto,65.754,248.750
CARISMA,DAWS,Dawson City,64.048,220.890
CARISMA,ESKI,Eskimo Point,61.106,265.950
CARISMA,FCHP,Fort Chipewyan,58.769,248.894
CARISMA,FCHU,Fort Churchill,58.763,265.920
CARISMA,FSIM,Fort Simpson,61.756,238.770
CARISMA,FSMI,Fort Smith,60.017,248.050
CARISMA,GILL,Gillam,56.376,265.360
CARISMA,GULL,Gull Lake,50.061,251.739
CARISMA,ISLL,Island Lake,53.856,265.340
CARISMA,LGRR,Little Grand Rapids,52.035,264.537
CARISMA,MCMU,Fort McMurray,56.657,248.790
CARISMA,MSTK,Ministik Lake,53.351,247.026
CARISMA,NORM,Norman Wells,65.257,233.311
CARISMA,OSAK,Osakis,45.871,264.917
CARISMA,OXFO,Oxford House,54.929,264.713
CARISMA,PINA,Pinawa,50.199,263.960
CARISMA,POLS,Polson,47.664,245.791
CARISMA,RABB,Rabbit Lake,58.222,256.320
CARISMA,RANK,Rankin Inlet,62.824,267.890
CARISMA,SACH,Sachs Harbour,71.980,234.770
CARISMA,TALO,Taloyoak,69.540,266.450
CARISMA,THRF,Thief River Falls,48.027,263.635
CARISMA,VULC,Vulcan,50.367,247.020
CARISMA,WEYB,Weyburn,49.693,256.200
CARISMA,WGRY,Wells Gray,51.883,239.974
CANMOS,ALE,Alert,82.497,297.647
CANMOS,BLC,Baker Lake,64.318,263.988
CANMOS,BRD,Brandon,49.870,260.026
CANMOS,CBB,Cambridge Bay,69.123,254.969
CANMOS,EUA,Eureka,80.000,274.100
CANMOS,FCC,Fort Churchill,58.759,265.912
CANMOS,GLN,Glenlea,49.645,262.880
CANMOS,GWC,Great Whale River,55.300,282.250
CANMOS,IQA,Iqaluit,63.753,291.482
CANMOS,MBC,Mould Bay,76.315,240.638
CANMOS,MEA,Meanook,54.616,246.653
CANMOS,OTT,Ottawa,45.403,284.448
CANMOS,PBQ,Poste de-la-Baleine,55.277,282.255
CANMOS,RES,Resolute,74.690,265.105
CANMOS,STJ,St. John's,47.595,307.323
CANMOS,SNK,Sanikiluaq,56.500,280.800
CANMOS,VIC,Victoria,48.520,236.580
CANMOS,WHS,Whiteshell,49.800,264.750
CANMOS,YKC,Yellowknife,62.480,245.518
AUTUMNX,FSJ,Fort St. John,56.230,239.270
AUTUMNX,AKUL,Akulivik,60.820,281.850
AUTUMNX,ATHA,Athabasca,54.714,246.686
AUTUMNX,INUK,Inukjuak,58.470,281.950
AUTUMNX,INUV,Inuvik,68.413,226.230
AUTUMNX,KJPK,Kuujjuarapik,55.280,282.240
AUTUMNX,LARG,La,55.158,254.739
AUTUMNX,LETH,Lethbridge,49.637,247.132
AUTUMNX,PUVR,Puvirnituq,60.050,282.710
AUTUMNX,RADI,Radisson,53.790,282.380
AUTUMNX,REDR,Red,52.143,246.161
AUTUMNX,ROTH,Priddis,50.873,245.698
AUTUMNX,SALU,Salluit,62.200,284.350
AUTUMNX,SCHF,Schefferville,54.800,293.190
AUTUMNX,SEPT,Spet-Iles,50.220,293.730
AUTUMNX,STFL,Saint-Felicien,48.650,287.550
AUTUMNX,VLDR,Val-d'Or,48.050,282.220
DTU,AMK,Tasiilaq,65.600,322.370
DTU,ATU,Attu,67.930,306.430
DTU,BFE,Brorfelde,55.625,11.672
DTU,DMH,Danmarkshavn,76.770,341.370
DTU,FHB,Paamiut,62.000,310.320
DTU,GDH,Qeqertarsuaq,69.250,306.470
DTU,GHB,Nuuk,64.170,308.270
DTU,HOV,Faroe Islands,61.500,353.240
DTU,KUV,Kullorsuaq,74.570,302.820
DTU,NAQ,Narsarsuaq,61.160,314.560
DTU,NRD,Nord,81.600,343.330
DTU,NRSQ,Narsarsuaq,61.162,314.558
DTU,ROE,Romo,55.172,8.550
DTU,SCO,Ittoqqortoormiit,70.480,338.030
DTU,SKT,Maniitsoq,65.420,307.100
DTU,STF,Kangerlussuaq,67.020,309.280
DTU,SUM,Summit Ice Cap,72.320,321.700
DTU,SVS,Savissivik,76.020,294.900
DTU,TAB,Thule Air Base ,79.540,291.180
DTU,TDC,Tristan Da Cunha ,-37.068,347.683
